timestamp,cpu_usage,memory_usage,network_traffic,power_consumption,num_executed_instructions,execution_time,energy_efficiency,disk_usage,bytes_sent_per_s,bytes_recv_per_s,swap_usage_pct
2026-05-27T02:56:05.770212+00:00,7.7,8.4,20145,84.65,692,0.02,0.9167,18.9,12081,8064,0.0
2026-05-27T02:56:15.771473+00:00,7.4,8.5,53005,83.3,2187,0.24,0.8706,18.9,34112,18893,0.0
2026-05-27T02:56:25.772694+00:00,6.5,8.5,0,79.25,649,0.03,0.7647,18.9,0,0,0.0
2026-05-27T02:56:35.774082+00:00,6.6,8.6,0,79.7,605,0.02,0.7674,18.9,0,0,0.0
2026-05-27T02:56:45.775447+00:00,13.2,8.6,20551,109.4,4106,1.77,1.5349,18.9,12293,8258,0.0
2026-05-27T02:56:55.776906+00:00,13.4,9.5,0,110.3,2212,0.39,1.4105,18.9,0,0,0.0
2026-05-27T02:57:05.778247+00:00,4.8,9.4,0,71.6,619,0.03,0.5106,18.9,0,0,0.0
2026-05-27T02:57:15.779572+00:00,6.4,9.5,15789,78.8,1085,0.05,0.6737,18.9,9461,6328,0.0
2026-05-27T02:57:25.780889+00:00,10.8,9.2,0,98.6,720,0.02,1.1739,18.9,0,0,0.0
2026-05-27T02:57:35.782133+00:00,6.5,9.2,0,79.25,604,0.02,0.7065,18.9,0,0,0.0
2026-05-27T02:57:45.783282+00:00,6.7,9.2,15912,80.15,1045,0.04,0.7283,18.9,9584,6328,0.0
2026-05-27T02:57:55.784391+00:00,6.2,9.0,0,77.9,592,0.02,0.6889,18.9,0,0,0.0
2026-05-27T02:58:05.785587+00:00,6.4,9.3,0,78.8,626,0.03,0.6882,18.9,0,0,0.0
2026-05-27T02:58:15.786747+00:00,6.3,9.2,0,78.35,677,0.02,0.6848,18.9,0,0,0.0
2026-05-27T02:58:25.787964+00:00,6.5,9.2,0,79.25,692,0.03,0.7065,18.9,0,0,0.0
2026-05-27T02:58:35.789236+00:00,6.6,9.2,0,79.7,613,0.02,0.7174,18.9,0,0,0.0
2026-05-27T02:58:45.790396+00:00,6.7,9.2,0,80.15,3788,0.94,0.7283,18.9,0,0,0.0
2026-05-27T02:58:55.791774+00:00,2.0,9.1,0,59.0,2033,0.15,0.2198,18.9,0,0,0.0
2026-05-27T02:59:05.792971+00:00,5.8,9.3,0,76.1,616,0.02,0.6237,18.9,0,0,0.0
2026-05-27T02:59:15.794115+00:00,6.5,9.3,0,79.25,625,0.03,0.6989,18.9,0,0,0.0
2026-05-27T02:59:25.795364+00:00,6.5,9.3,0,79.25,703,0.03,0.6989,18.9,0,0,0.0
2026-05-27T02:59:35.796681+00:00,6.5,9.3,0,79.25,802,0.03,0.6989,18.9,0,0,0.0
2026-05-27T02:59:45.797956+00:00,6.5,9.2,0,79.25,709,0.03,0.7065,18.9,0,0,0.0
2026-05-27T02:59:55.799131+00:00,6.5,9.3,0,79.25,592,0.02,0.6989,18.9,0,0,0.0
2026-05-27T03:00:05.800344+00:00,6.5,9.2,0,79.25,600,0.03,0.7065,18.9,0,0,0.0
2026-05-27T03:00:15.801545+00:00,6.2,9.2,0,77.9,541,0.03,0.6739,18.9,0,0,0.0
2026-05-27T03:00:25.802685+00:00,6.5,9.2,0,79.25,662,0.02,0.7065,18.9,0,0,0.0
2026-05-27T03:00:35.804046+00:00,6.2,9.2,0,77.9,1554,0.14,0.6739,18.9,0,0,0.0
2026-05-27T03:00:45.805309+00:00,6.4,9.2,0,78.8,4173,0.98,0.6957,18.9,0,0,0.0
2026-05-27T03:00:55.806476+00:00,1.8,9.2,0,58.1,734,0.04,0.1957,18.9,0,0,0.0
2026-05-27T03:01:05.807635+00:00,6.5,9.2,0,79.25,666,0.02,0.7065,18.9,0,0,0.0
